"method","rank","sd_noise","coh","mean_rmse","sd_rmse","n_rep"
"CP-ALS",5,0,0,0.101590259476671,0.116341108778162,6
"RGD",5,0,0,0.113614114012877,0.0827385936235308,20
"RGN",5,0,0,0.0165525814798786,0.0495720705102683,12
"CP-ALS",5,0,0.2,0.115217358355556,0.0785154554504765,8
"RGD",5,0,0.2,0.140262710017728,0.0928182306203883,20
"RGN",5,0,0.2,0.0943812725282696,0.0922614137454704,17
"CP-ALS",5,0,0.5,0.0780669939125884,0.0611716880155012,20
"RGD",5,0,0.5,0.181844981429938,0.0575191696531583,20
"RGN",5,0,0.5,0.0832854944490708,0.0691305005182257,20
"CP-ALS",5,0,0.9,0.0271100350747793,0.00497966668822943,20
"RGD",5,0,0.9,0.0833501003513484,0.0280474916442273,20
"RGN",5,0,0.9,0.0433316722798387,0.0089578173329246,20
"CP-ALS",5,0.5,0,0.105755842106056,0.0420197352853749,20
"RGD",5,0.5,0,0.18862760810148,0.0695100450607403,20
"RGN",5,0.5,0,0.13299432527663,0.0594344280504605,20
"CP-ALS",5,0.5,0.2,0.117782986322183,0.0480524572657493,20
"RGD",5,0.5,0.2,0.168906173459168,0.0531330699264798,20
"RGN",5,0.5,0.2,0.147461750730778,0.0538667615423657,20
"CP-ALS",5,0.5,0.5,0.123729636747306,0.034150857251182,20
"RGD",5,0.5,0.5,0.221744029229306,0.0598595006137864,20
"RGN",5,0.5,0.5,0.152601840337604,0.0372475372486988,20
"CP-ALS",5,0.5,0.9,0.0834895251655385,0.0100882873754447,20
"RGD",5,0.5,0.9,0.113536520771759,0.0249610321548669,20
"RGN",5,0.5,0.9,0.0909458403650111,0.0102523426692133,20
"CP-ALS",5,1,0,0.244141337078336,0.052720627780335,20
"RGD",5,1,0,0.260829617442337,0.0587907986700368,20
"RGN",5,1,0,0.24703941527807,0.0553686656585017,20
"CP-ALS",5,1,0.2,0.246194220268243,0.0373854788592783,20
"RGD",5,1,0.2,0.274099015591166,0.0403908256069649,20
"RGN",5,1,0.2,0.26381909879782,0.0492151242589857,20
"CP-ALS",5,1,0.5,0.238139077672462,0.034730804805212,20
"RGD",5,1,0.5,0.303282439253857,0.0703906916565752,20
"RGN",5,1,0.5,0.241609618698621,0.045958441166064,20
"CP-ALS",5,1,0.9,0.165985277490786,0.0106528271449532,20
"RGD",5,1,0.9,0.184131553006845,0.0227698670196272,20
"RGN",5,1,0.9,0.171029586380085,0.0251151672703099,20
"CP-ALS",10,0,0,0.0874149681512382,0.0681375557377994,8
"RGD",10,0,0,0.105748871434442,0.0559796019983296,20
"RGN",10,0,0,0.0622747945600352,0.0664954405868509,18
"CP-ALS",10,0,0.2,0.128358255770007,0.0420503534852561,14
"RGD",10,0,0.2,0.174648045237389,0.109462737636913,20
"RGN",10,0,0.2,0.104117249753085,0.0800776306325954,19
"CP-ALS",10,0,0.5,0.128118287104241,0.0362998491021113,20
"RGD",10,0,0.5,0.265480352888549,0.0496259406811191,20
"RGN",10,0,0.5,0.151564670638789,0.0359022751127441,20
"CP-ALS",10,0,0.9,0.0305636065010804,0.003837042985481,20
"RGD",10,0,0.9,0.0669572519119871,0.0106984171604141,20
"RGN",10,0,0.9,0.0462279254724649,0.0043855801356063,20
"CP-ALS",10,0.5,0,0.102122358142843,0.0496244245249489,20
"RGD",10,0.5,0,0.176977208062173,0.0624721178084247,20
"RGN",10,0.5,0,0.104253177255714,0.0434971457902769,20
"CP-ALS",10,0.5,0.2,0.104505315908991,0.0539714381724593,20
"RGD",10,0.5,0.2,0.173403560554365,0.0644033079576097,20
"RGN",10,0.5,0.2,0.117871357825299,0.0521054945303261,20
"CP-ALS",10,0.5,0.5,0.138972773485999,0.0357312111152094,20
"RGD",10,0.5,0.5,0.275919705736398,0.0440032746269976,20
"RGN",10,0.5,0.5,0.165095019210488,0.0418611054467138,20
"CP-ALS",10,0.5,0.9,0.0532190600640071,0.0033771071281523,20
"RGD",10,0.5,0.9,0.0827625092655373,0.0069010262675864,20
"RGN",10,0.5,0.9,0.0616447807353433,0.00414700875743883,20
"CP-ALS",10,1,0,0.165803008911802,0.0327193442772352,20
"RGD",10,1,0,0.223320858604399,0.0627448235210733,20
"RGN",10,1,0,0.189360505142811,0.0306236959356006,20
"CP-ALS",10,1,0.2,0.180720928756943,0.0502016786803532,20
"RGD",10,1,0.2,0.247597972382307,0.0385040237565228,20
"RGN",10,1,0.2,0.19465444369923,0.0380957487697475,20
"CP-ALS",10,1,0.5,0.184820061788138,0.0280009846555435,20
"RGD",10,1,0.5,0.309990760976425,0.0449119261201033,20
"RGN",10,1,0.5,0.218623085651958,0.0268813954271052,20
"CP-ALS",10,1,0.9,0.0955799159036687,0.00407745459324533,20
"RGD",10,1,0.9,0.111415652803385,0.00911223193231131,20
"RGN",10,1,0.9,0.10147394443084,0.00622058118644833,20
"CP-ALS",15,0,0,0.0770627015493099,0.0569160243171472,14
"RGD",15,0,0,0.138657848956782,0.0665436201725448,20
"RGN",15,0,0,0.109546827929435,0.065643542735187,18
"CP-ALS",15,0,0.2,0.12454355326335,0.0403676785873449,19
"RGD",15,0,0.2,0.215729081062782,0.0807326454085242,20
"RGN",15,0,0.2,0.145384439313305,0.055529292121303,20
"CP-ALS",15,0,0.5,0.151344065151494,0.0297417121686554,20
"RGD",15,0,0.5,0.256496105916152,0.0321663778004677,20
"RGN",15,0,0.5,0.149187479592191,0.0345985520071146,20
"CP-ALS",15,0,0.9,0.0334337932130035,0.00316633936712629,20
"RGD",15,0,0.9,0.0669572768162444,0.00496165772127267,20
"RGN",15,0,0.9,0.0469508364352047,0.00299159973484763,20
"CP-ALS",15,0.5,0,0.117331575866875,0.0576294901970832,20
"RGD",15,0.5,0,0.165100397584232,0.0507461473348057,20
"RGN",15,0.5,0,0.146668886406186,0.0446375446105968,20
"CP-ALS",15,0.5,0.2,0.127173558760671,0.0465936483405601,20
"RGD",15,0.5,0.2,0.203792532820777,0.0757386873128846,20
"RGN",15,0.5,0.2,0.147851085449623,0.0531280167686736,20
"CP-ALS",15,0.5,0.5,0.128818033349888,0.0436607787590439,20
"RGD",15,0.5,0.5,0.259944393135952,0.0489569411794812,20
"RGN",15,0.5,0.5,0.161861448774469,0.0482376623794254,20
"CP-ALS",15,0.5,0.9,0.0432859861872618,0.00218705441041153,20
"RGD",15,0.5,0.9,0.0736858752713212,0.00381659036525626,20
"RGN",15,0.5,0.9,0.0560967386821731,0.00350090729741422,20
"CP-ALS",15,1,0,0.138575223959982,0.0423354738511167,20
"RGD",15,1,0,0.181468561265321,0.0404715761876906,20
"RGN",15,1,0,0.155329137266195,0.0360798284794736,20
"CP-ALS",15,1,0.2,0.154995205168723,0.035620748171853,20
"RGD",15,1,0.2,0.238397896205673,0.0746218357492137,20
"RGN",15,1,0.2,0.164600911659515,0.0296924361869732,20
"CP-ALS",15,1,0.5,0.165865906381154,0.0331936916044789,20
"RGD",15,1,0.5,0.301408617368427,0.0352842640747755,20
"RGN",15,1,0.5,0.191816627903768,0.0366566877924104,20
"CP-ALS",15,1,0.9,0.0730212943817056,0.00250899583848781,20
"RGD",15,1,0.9,0.0893784527501097,0.00482009170411963,20
"RGN",15,1,0.9,0.0789417163201842,0.00304062041117997,20
